Title,Author,Year,URL
Thepsychological effectsof AI-assisted programming on students and professionals,"M Valový,A Buchalcevova- 2023 IEEE International …, 2023",N/A,https://ieeexplore.ieee.org/abstract/document/10336271/
The promise of generative Artificial lntelligence.Psychological implicationsineducationalcontexts,"L Miraglia - Rivista di Scienze dell'Educazione, 2024",N/A,https://ethik-und-gesellschaft.de/ojs/index.php/rse/article/view/2006
ProblematicChatGPTUse Scale: AI-Human Collaboration or Unraveling the Dark Side ofChatGPT,"S Maral, N Naycı,H Bilmez, Eİ Erdemir… - … Journal ofMentalHealth …, 2025",N/A,https://link.springer.com/article/10.1007/s11469-025-01509-y
"Towards ethical artificial intelligence in universities:ChatGPT, culture, andmentalhealth stigmas in Asian highereducationpost COVID-19","MJ Day- Journal of Technology in CounselorEducationand …, 2023",N/A,https://digital.sandiego.edu/tces/vol4/iss1/7/
"EmpoweringChatGPTwith guidance mechanism in blendedlearning:Effectof self-regulatedlearning, higher-order thinking skills, and knowledge construction","HY Lee,PH Chen,WS Wang,YM Huang… - … Journal ofEducational…, 2024",N/A,https://link.springer.com/article/10.1186/s41239-024-00447-4
"ChatGPTforteaching,learningand research: Prospects and challenges","E Opara, A Mfon-Ette Theresa… - … ).ChatGPTforTeaching…, 2023",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4375470
[BOOK][B]Generative AI in highereducation: TheChatGPT effect,"CKY Chan, T Colloton",N/A,https://library.oapen.org/handle/20.500.12657/88443
DoesChatGPTpose a threat to human identity?,"A Gabbiadini,O Dimitri,C Baldissarri… - Behaviour & …, 2023",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4377900
"[PDF][PDF]ChatGPT impactson access-efficiency, employment,educationand ethics: The socio-economics of an AI language model","OO Ayoola,R Alenoghena,S Adeniji- BizEcons Quarterly, 2023",N/A,https://www.researchgate.net/profile/Olaniyi-Evans/publication/372476026_ChatGPT_impacts_on_access-efficiency_employment_education_and_ethics_The_socio-economics_of_an_AI_language_model/links/64df1eaf14f8d17338083a14/ChatGPT-impacts-on-access-efficiency-employment-education-and-ethics-The-socio-economics-of-an-AI-language-model.pdf
"[HTML][HTML]Exploring theimpactofChatGPTon art creation and collaboration: Benefits, challenges and ethicalimplications","S Zhu, Z Wang, Y Zhuang, Y Jiang,M Guo… - … and Informatics Reports, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S2772503024000240
"… the quality ofteachingandlearningthroughChatGPTand similar large language models: Challenges, future prospects, and ethicalconsiderationsineducation","N Rane- … prospects, and ethicalconsiderationsineducation…, 2023",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4599104
"The promise and peril ofChatGPTin highereducation: opportunities, challenges, and designimplications","H Park,D Ahn- Proceedings of the 2024 CHI Conference on Human …, 2024",N/A,https://dl.acm.org/doi/abs/10.1145/3613904.3642785
"ChatGPTforLearningin HigherEducation: Benefits, Downsides, andImplications","M Godsk, PR Elving - Journal of InteractiveLearningResearch, 2024",N/A,https://www.learntechlib.org/d/222471/
Beyond text:ChatGPTas anemotionalresilience support tool for Gen Z–A sequential explanatory design exploration,"K Kavitha,VP Joshith… - …learningand Digital Media, 2024",N/A,https://journals.sagepub.com/doi/abs/10.1177/20427530241259099
TheimpactofChatGPTon foreign languageteachingandlearning: Opportunities ineducationand research,"WCH Hong- Journal ofeducationaltechnology and innovation, 2023",N/A,https://jeti.thewsu.org/index.php/cieti/article/view/103
[HTML][HTML]Use ofChatGPTin academia:Academicintegrity hangs in the balance,"SA Bin-Nashwan,M Sadallah,M Bouteraa- Technology in Society, 2023",N/A,https://www.sciencedirect.com/science/article/pii/S0160791X23001756
"ChatGPTandacademicintegrity: the role of personal best goals,academiccompetence, and workplace stress","SA Bin-Nashwan,M Sadallah,A Benlahcene… - foresight, 2025",N/A,https://www.emerald.com/insight/content/doi/10.1108/FS-04-2024-0089/full/html
"… of work overload on cybersecurity behavior: A moderated mediation model ofpsychologicalcontract breach, burnout, and self-efficacy in AIlearningsuch asChatGPT","BJ Kim, MJ Kim - Technology in Society, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S0160791X24000915
The ethicalimplicationsof using generative chatbots in highereducation,"RT Williams- Frontiers inEducation, 2024",N/A,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2023.1331607/full
"To be with artificial intelligence in oral test or not to be: a probe into the traces of success in speaking skill,psychologicalwell-being, autonomy, andacademic…","BT Sayed, ZB Bani Younes, A Alkhayyat… - Language Testing in …, 2024",N/A,https://link.springer.com/article/10.1186/s40468-024-00321-0
Exploring theimpactofChatGPT-generated feedback on technical writing skills of computing students: A blinded study,"R AlGhamdi-Educationand Information Technologies, 2024",N/A,https://link.springer.com/article/10.1007/s10639-024-12594-2
[HTML][HTML]Highereducationstudents' task motivation in the generative artificial intelligence context: The case ofChatGPT,"M Hmoud, H Swaity, N Hamad,O Karram,W Daher- Information, 2024",N/A,https://www.mdpi.com/2078-2489/15/1/33
Determinants ofChatGPTadoption among students in highereducation: the moderatingeffectof trust,"B Foroughi,M Iranmanesh,M Ghobakhloo… - The Electronic …, 2025",N/A,https://www.emerald.com/el/article/43/1/1/1241323
EmpoweringChatGPTadoption in highereducation: A comprehensive analysis of university students' intention to adopt artificial intelligence using self-determination …,"YH Al-Mamary,AA Abubakar- The Internet and HigherEducation, 2025",N/A,https://www.sciencedirect.com/science/article/pii/S1096751625000247
[PDF][PDF]CHAT-GPTAI WEB,"S Arya, A Tiwari",N/A,https://www.researchgate.net/profile/Insha-Rasool-4/publication/386870343_EMOTIONAL_MATURITY_IN_THE_DIGITAL_AGE_EXPLORING_THE_NEXUS_OF_HAPPINESS_AND_TECHNOLOGY/data/6759af84138b414414d6332b/conference-paper-2.pdf
ApplyingChatGPTto tackle the sideeffectsof personallearningenvironments from learner andlearningperspective: An interview of experts in highereducation,"XS Xu, XB Wang, YF Zhang, R Zheng - PLoS One, 2024",N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0295646
ChatGPT: Perspectives from human–computer interaction andpsychology,"J Liu - Frontiers in Artificial Intelligence, 2024",N/A,https://www.frontiersin.org/articles/10.3389/frai.2024.1418869/full
"Analysis of college students' attitudes toward the use ofChatGPTin theiracademicactivities:effectof intent to use, verification of information and responsible use","BG Acosta-Enriquez,MA Arbulú Ballesteros… - BMCpsychology, 2024",N/A,https://link.springer.com/article/10.1186/s40359-024-01764-z
Impactof the implementation ofChatGPTineducation: A systematic review,"M Montenegro-Rueda,J Fernández-Cerero… - Computers, 2023",N/A,https://www.mdpi.com/2073-431X/12/8/153
"ChatGPT: Challenges, opportunities, andimplicationsfor teachereducation","J Whalen,C Mouza- … in Technology and TeacherEducation, 2023",N/A,https://www.learntechlib.org/p/222408/?nl=1
Reflection on whetherChat GPTshould be banned by academia from the perspective ofeducationandteaching,"H Yu - Frontiers inPsychology, 2023",N/A,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1181712/full
